id,objectId,Make,Year,Model,Category1,Category2,Category3
172,1OtIYyoc0h,Alfa Romeo,1994,164,Sedan,,
173,yk2z7xGTkC,Alfa Romeo,1995,164,Sedan,,
174,TnlyBjmZqo,Alfa Romeo,2015,4C Spider,Convertible,,
175,1wWaKPYUUg,Alfa Romeo,2015,4C,Coupe,,
176,8OIUrs27gg,Alfa Romeo,2016,4C Spider,Convertible,,
177,88QmFYxTMj,Alfa Romeo,2016,4C,Coupe,,
178,TgryyyrVs8,Alfa Romeo,2017,Giulia,Sedan,,
179,Z3p5FQuReo,Alfa Romeo,2017,4C,Coupe,,
180,GKX8PHDvBx,Alfa Romeo,2018,4C Spider,Convertible,,
181,eSrBpgc1NL,Alfa Romeo,2018,Giulia,Sedan,,
182,s7EVRxkGTP,Alfa Romeo,2018,4C,Coupe,,
183,DGqqE0kSiF,Alfa Romeo,2018,Stelvio,SUV,,
184,BsrsAho8K3,Alfa Romeo,2019,4C Spider,Convertible,,
185,kgUoGEiena,Alfa Romeo,2019,Stelvio,SUV,,
186,aycZC5J2yw,Alfa Romeo,2019,Giulia,Sedan,,
187,dhoJGq6zhE,Alfa Romeo,2021,Giulia,Sedan,,
188,Cyh9SkDKYp,Alfa Romeo,2021,Stelvio,SUV,,
189,VcwQftaIIk,Aston Martin,2005,Vanquish S,Coupe,,
190,VHNE0zPifu,Aston Martin,2005,DB9,Convertible, Coupe,
191,ChvQI3EA8n,Aston Martin,2006,Vanquish S,Coupe,,
192,TZT1nEKzyN,Aston Martin,2006,Vantage,Coupe,,
193,c6yeVD7HmU,Aston Martin,2006,DB9,Convertible, Coupe,
194,Nyv52eyncl,Aston Martin,2007,DB9,Convertible, Coupe,
195,24tMxTwPxZ,Aston Martin,2007,Vantage,Convertible, Coupe,
196,eAbuLpr37w,Aston Martin,2008,DB9,Convertible, Coupe,
197,Ej3NjNZPM4,Aston Martin,2008,Vantage,Coupe, Convertible,
198,2OWbL8qCHE,Aston Martin,2008,DBS,Coupe,,
199,8CQw7ZOE87,Aston Martin,2009,DB9,Coupe, Convertible,
200,u45pccX8hY,Aston Martin,2009,Vantage,Convertible, Coupe,
201,JOhumYZ0sL,Aston Martin,2009,DBS,Coupe, Convertible,
202,QIdLqgdZ9a,Aston Martin,2010,DB9,Coupe, Convertible,
203,lJv2NRJ2sF,Aston Martin,2010,DBS,Coupe, Convertible,
204,VR2wv1MInM,Aston Martin,2010,Vantage,Coupe, Convertible,
205,cZQAFgGDtG,Aston Martin,2010,Rapide,Sedan,,
206,yZAik5VgRl,Aston Martin,2011,Vantage,Coupe, Convertible,
207,UBvL44ZnX1,Aston Martin,2011,Rapide,Sedan,,
208,e9SR5XubQW,Aston Martin,2011,DB9,Convertible, Coupe,
209,m75jhFe2RD,Aston Martin,2011,DBS,Coupe, Convertible,
210,CTakvUcaKe,Aston Martin,2012,Vantage,Coupe, Convertible,
211,D51Ft0uT81,Aston Martin,2012,Rapide,Sedan,,
212,hQgpaDT0rb,Aston Martin,2012,DB9,Coupe, Convertible,
213,YD0pLiKhmV,Aston Martin,2012,DBS,Coupe, Convertible,
214,ULFEyYMvLD,Aston Martin,2012,Virage,Coupe, Convertible,
215,fKTNOvGEnJ,Aston Martin,2013,Vantage,Coupe, Convertible,
216,bnOmeEzAIs,Aston Martin,2013,DB9,Coupe, Convertible,
217,2BwAgrCnEA,Aston Martin,2014,Vanquish,Coupe, Convertible,
218,qi7cVLCyoU,Aston Martin,2014,Vantage,Coupe, Convertible,
219,E9jDWjl0oe,Aston Martin,2014,DB9,Coupe, Convertible,
220,cMITXt2muW,Aston Martin,2014,Rapide S,Sedan,,
221,9qMKkVqVKf,Aston Martin,2015,DB9,Coupe, Convertible,
222,TdLwENDxpR,Aston Martin,2015,Rapide S,Sedan,,
223,RdNm65oDf9,Aston Martin,2015,Vanquish,Coupe, Convertible,
224,CXtiTUK4Wq,Aston Martin,2015,Vantage,Coupe, Convertible,
225,mshL06PuU6,Aston Martin,2016,DB9 GT,Coupe, Convertible,
226,kvfKYBIihM,Aston Martin,2016,Rapide S,Sedan,,
227,KzEGemJDhq,Aston Martin,2016,Vanquish,Coupe, Convertible,
228,vSXyf5BSOK,Aston Martin,2016,Vantage,Coupe, Convertible,
229,Gqxpf5rV52,Aston Martin,2017,Rapide S,Sedan,,
230,E66XUXqHyy,Aston Martin,2017,Vanquish,Coupe, Convertible,
231,qGSwlNnxKu,Aston Martin,2017,DB11,Coupe,,
232,uEQDjTKEOq,Aston Martin,2017,Vantage,Convertible, Coupe,
233,rwdOGxYYPw,Aston Martin,2018,Vanquish S,Convertible, Coupe,
234,Y2HL8TewJ9,Aston Martin,2018,DB11,Coupe,,
235,OJyFWNcfmQ,Audi,1992,S4,Sedan,,
236,ryCJVC6Zmz,Audi,1992,100,Sedan, Wagon,
237,aT16Zuyu7Q,Audi,1992,Quattro,Sedan,,
238,yUQSytLziE,Audi,1992,80,Sedan,,
239,SEDJADvHJR,Audi,1993,S4,Sedan,,
240,2gL5ekMRod,Audi,1993,90,Sedan,,
241,J6OkImqVrw,Audi,1993,Quattro,Sedan,,
242,onm4J3SvuL,Audi,1993,100,Sedan, Wagon,
243,YamcwEEFDV,Audi,1994,Quattro,Sedan,,
244,bE5YJvzAmq,Audi,1994,90,Sedan,,
245,B1svC9XxLM,Audi,1994,S4,Sedan,,
246,TPCKAGwSDC,Audi,1994,100,Wagon, Sedan,
247,3oiBJNFbT8,Audi,1994,Cabriolet,Convertible,,
248,QX9ySBIpdO,Audi,1995,A6,Wagon, Sedan,
249,HLzgBN65EE,Audi,1995,90,Sedan,,
250,1DweIdtxSZ,Audi,1995,Cabriolet,Convertible,,
251,l9PWkfjaWl,Audi,1995,S6,Wagon, Sedan,
252,O2z5X8Yrxi,Audi,1996,A4,Sedan,,
253,ewulKTR34p,Audi,1996,Cabriolet,Convertible,,
254,pyEahLJSSb,Audi,1996,A6,Sedan, Wagon,
255,vct5GQBUUb,Audi,1997,A6,Wagon, Sedan,
256,iydtjGJokR,Audi,1997,Cabriolet,Convertible,,
257,QZgscDMJmp,Audi,1997,A4,Sedan,,
258,VyqPrhRYr8,Audi,1997,A8,Sedan,,
259,KbQLY3CllD,Audi,1998,A4,Sedan, Wagon,
260,hSOmSdp9ng,Audi,1998,A8,Sedan,,
261,qtKp8KTMGE,Audi,1998,Cabriolet,Convertible,,
262,oFgLdy4RE9,Audi,1998,A6,Sedan, Wagon,
263,Hi9vm7xDhz,Audi,1999,A4,Sedan, Wagon,
264,TZTniyHE7Z,Audi,1999,A8,Sedan,,
265,4LaGb0bM71,Audi,1999,A6,Sedan, Wagon,
266,jCgkmLf7R0,Audi,2000,A4,Wagon, Sedan,
267,9W3nCz5A8P,Audi,2000,A6,Sedan, Wagon,
268,TsHVD1dmrm,Audi,2000,TT,Coupe,,
269,F2BYiPLPcy,Audi,2000,A8,Sedan,,
270,iOy4XrjpdG,Audi,2000,S4,Sedan,,
271,cIU0l79u2F,Audi,2001,S8,Sedan,,
272,h77E6KDvSZ,Audi,2001,A4,Sedan, Wagon,
273,1MKPagHa71,Audi,2001,A8,Sedan,,
274,yhUF2ffwWk,Audi,2001,S4,Wagon, Sedan,
275,xMv2Dt1yJA,Audi,2001,A6,Wagon, Sedan,
276,9mAsG4kVfg,Audi,2001,allroad,Wagon,,
277,XkhbKK6cv0,Audi,2001,TT,Coupe, Convertible,
